,Homepage,česky,ukrajinsky
helpFindAccommodation.line4,,"Po velké vlně solidarity, která přišla se začátkem války, je naše pomoc stále potřeba. Významná část uprchlíků stále bydlí v provizorním hromadném ubytování, zejména v ubytovnách. Lidem v nich se daří hůře jak v práci, tak ve škole, neumějí dobře česky a téměř s žádnými Čechy se neznají.","Після великої хвилі солідарності, яка прийшла з початком війни, наша допомога все ще потрібна. Значна частина біженців досі проживає у колективних тимчасових приміщеннях, особливо в гуртожитках чи хостелах. Такі умови проживання впливають на успіхи людей в роботі чи школі; вони погано володіють чеською мовою і майже не знайомі з чехами. "
helpFindAccommodation.line5,,"Státní podpora hromadného ubytování se navíc po 1. červenci 2023 výrazně omezí. O bydlení tak může přijít až 70 tisíc uprchlíků. Proto je třeba hledat možnosti ubytování v bytech, co nejblíže normálnímu bydlení.","Окрім того від 1 липня 2023 року суттєво скоротиться державна підтримка масового проживання. Так майже 70 тисяч біженців можуть втратити житло. Тому варто шукати інші варіанти проживання - в квартирах, що є максимально наближеними до звичайного житла."
helpFindAccommodation.button1,,Nabídnout ubytování,Запропонувати проживання
helpFindAccommodation.button2,,Jak to funguje,Як це працює
helpFindAccommodation.link,,Nejdříve si ujasněte,"Перш за все, чітко собі усвідомте"
accommodationReasons.title,Proč nabídnout ubytování,Proč nabídnout bydlení uprchlíkům?,Чому взагалі пропонувати житло біженцям?
accommodationReasons.reason1.title,,Solidarita,Солідарність
accommodationReasons.reason1.text,,"I když jsou uprchlíci z Ukrajiny v České republice převážně dočasně, dočasnost trvá už rok a možná potrvá i ten další. Na ubytovně s mnoha dalšími osobami je obtížné tak dlouho bydlet. Uprchlíci jsou lidé, kteří prošli traumatickou zkušeností, ztratili svého příbuzného nebo v ČR “jen” čekají na konec války. Pomůžeme jim tím, že jim nabídneme soukromí a důstojné bydlení.","Хоча біженці з України перебувають у Чехії переважно тимчасово, цей тимчасовий характер проживання триває вже рік, а може тривати і наступний. Важко так довго жити в гуртожитку чи хостелі з великою кількістю людей. Біженці – це люди, які пережили травматичний досвід, втратили члена родини або «просто» чекають закінчення війни в Чехії. Давайте допоможемо їм, надавши трішки приватності і гідне житло."
accommodationReasons.reason2.title,,Integrace,Інтеграція
accommodationReasons.reason2.text,,"Nejlépe integrovaní jsou ti ukrajinští uprchlíci, kteří v České republice našli zaměstnání, jsou začleněni do české společnosti a jejich děti navštěvují školská zařízení. Uprchlíci, kteří bydlí v bytech a jsou v kontaktu s českými ubytovateli, mají k začlenění nejblíže.","Найкраще інтегрованими є ті українські біженці, які знайшли роботу в Чехії, залучені до чеськеого суспільства, а їхні діти чеські відвідують школи. Найближчими до інтеграції є ті біженці, які живуть у квартирах і контактують із чехами, котрі надають житло."
accommodationReasons.reason3.title,,Obohacení,Збагачення 
accommodationReasons.reason3.text,,"Poskytnutí bydlení uprchlíkům není jen jednostrannou pomocí. Často vede k vzájemnému obohacení, podpoře i trvalým přátelstvím. Setkání s novou kulturou, poznání vlastních schopností a hranic jsou cennými zkušenostmi pro další život.","Надання житла біженцям – це не просто одностороння допомога. Це часто призводить до взаємного збагачення, підтримки та тривалої дружби. Зустріч з новою культурою, пізнання своїх здібностей і обмежень є цінним досвідом на все життя."
howItWorks.title,Jak to funguje?,Jak to funguje?,Як це працює?
howItWorks.text,,Co se stane s vaší nabídkou a jak to celé funguje?,Що станеться з вашою пропозицією надання житла і як це все працює?
howItWorks.step1.number,,1. krok,Перший крок
howItWorks.step1.title,,Vyplnění formuláře a ověření nabídky,Заповнити форму/бланк та перевірка вашої пропозиції. 
howItWorks.step1.text,,"Vyplníte formulář, ve kterém popíšete nabízené ubytování. Po odeslání formuláře Vám do emailu přijde odkaz, prostřednictvím něhož ověříte svůj email. Ten bude sloužit jako vaše přihlašovací jméno.
Vaše nabídka bude zpřístupněna v neveřejné sekci platformy pomahejukrajine.cz, a to z důvodu bezpečnosti a ochrany vašeho soukromí. Na platformě vám rovněž vznikne uživatelský účet, ve kterém můžete nabídku dále upravovat. Během několika dní vás případně zkontaktujeme a ověříme, zda jsou informace o nabídce ubytování srozumitelné a úplné.","Заповніть форму/бланк, я якому опишіть запропоноване житло. Після відправлення форми/бланку ви отримаєте посилання на свою електронну пошту, за яким ви зможете підтвердити свою електронну адресу. Це буде ваше ім’я для входу - логін.
З міркувань безпеки та захисту вашої конфіденційності ваша пропозиція буде доступна в закритому розділі платформи pomahejukrajine.cz. Тоді ж вам буде створено обліковий запис користувача на платформі, у якому ви зможете далі редагувати свою пропозицію. Протягом кількох днів ми зв'яжемося з вами та перевіримо, чи інформація щодо пропозиції житла є зрозумілою та повною."
howItWorks.step2.number,,2. krok,Другий крок
howItWorks.step2.title,,Zprostředkování pomáhající organizací,"Посередництво організації, що допомагає"
howItWorks.step2.text,,"Vaše nabídka se tak skrze platformu pomahejukrajine.cz dostane do rukou pracovníkům registrované pomáhající organizace, které mají za poslední měsíce s podporou uprchlíků zkušenosti. Přesný popis nabízeného ubytování je důležitý, aby jejich pracovníci mohli svým klientům vybrat ubytování podle jejich potřeb a vašich možností. Konkrétní organizace vám pak pomůže i s celým procesem ubytování.","Так через платформу pomahejukrajine.cz ваша пропозиція потрапить до працівників зареєстрованих організацій, що допомагають та мають досвід в підтримці біженців за останні місяці. Точний опис пропонованого житла важливий, щоб їхній персонал міг вибрати житло для своїх клієнтів відповідно до їхніх потреб і ваших можливостей. Саме ці спеціальні організації також вам допоможуть і з усім процесом надання житла."
howItWorks.step3.number,,3. krok,Третій крок
howItWorks.step3.title,,Propojení ubytovatele a uprchlíka,З'єднати господаря житла та біженця
howItWorks.step3.text,,"Pracovníci pomáhajících organizací zprostředkují prvotní kontakt a pomohou domluvit se na podmínkách ubytování. Každá organizace má vlastní postup, jak potřeby ubytovatele a uprchlíka sladit ke vzájemné spokojenosti. V každém případě platí, že jak uprchlíci, tak ubytovatelé se na ni mohou v případě potřeby obrátit.","Співробітники організацій, що допомагають, будуть посередниками у вашому первинному контакті та допоможуть узгодити умови проживання. Кожна організація має власну процедуру узгодження потреб приймаючої особи та біженця, що забезпечить взаємний спокій та задоволення. Незалежно від організації, у разі потреби до неї можуть звернутися як біженці, так і постачальники житла."
howItWorks.step4.number,,4. krok,Четвертий крок
howItWorks.step4.title,,Ubytování,Проживання
howItWorks.step4.text,,"Pokud půjde všechno dobře, stanete se ubytovatelem, poskytujícím ubytování uprchlíkovi či rodině uprchlíků. Pomáhající organizace vám bude asistovat např. s návrhem nájemní či podnájemní smlouvy. Ubytovaný uprchlík se následně musí do 3 dnů registrovat u Ministerstva vnitra (Odboru Azylové a migrační politiky) s novou adresou.","Якщо все піде добре, ви станете господарем житла, котрий надає його біженцю або сім’ї біженця. Спеціальна організація, яка була вашим посередником, допоможе вам, наприклад, з проектом договору оренди або суборенди. Згодом розміщений біженець повинен зареєструватися в Міністерстві внутрішніх справ (Департамент притулку та міграційної політики) за новою адресою, а саме до 3 дні після зміни."
howItWorks.step5.number,,5. krok,П'ятий крок
howItWorks.step5.title,,Podpora,Підтримка
howItWorks.step5.text,,"Při poskytnutí solidárního ubytování potřebují dlouhodobou podporu ze strany pomáhajících organizací jak uprchlíci, tak ubytovatelé. Zůstaňte prosím v kontaktu s pomáhající organizací a řešte s ní nejasnosti či problémy. Jako ubytovatel budete mít také nárok na finanční podporu – buď ve formě tzv. solidárního příspěvku, nebo na nájem ve výši státem určené částky.","При наданні свого житла та спільного користування разом з біженцями довгострокової підтримки з боку спеціальних організацій, що допомагають, потребують, як біженці, так і постачальники житла. Будь ласка, залишайтеся на зв’язку з організацією, яка вам допомагає, і вирішуйте з ними будь-які неясності чи проблеми. Ви, як людина, що надала своє житло, матимете право на фінансову підтримку – або у вигляді так званого внеску солідарності, або на орендну плату у розмірі, визначеному державою."
howItWorks.button,,Nabídnout ubytování,Запропонувати проживання
howItWorks.button2,,Více o solidárním příspěvku,"Більше про допомогу тим, хто розмістив біженців у своїх домівках, тут"
accommodationSupport.title,Podpora ubytování,Podpora ubytování uprchlíků v domácnostech,Підтримка за надання проживання біженцям в родинах
accommodationSupport.text,,Mnoho rodin se rozhodlo své domácnosti a/nebo vlastní nemovitosti dočasně poskytnout ukrajinským uprchlíkům k bydlení. Stát bydlení v tzv. solidárních domácnostech do určité míry finančně podporuje.,Багато сімей вирішили тимчасово надати свої домогосподарства та/або власне майно українським біженцям для житла. Держава певною мірою фінансово підтримує проживання в так званих солідарних домогосподарствах.
accommodationSupport.text2,,Pravidla podpory platná do 30.6.2023,Правила підтримки дійсні до 30.06.2023
accommodationSupport.text3,,"Solidární domácnosti mohou od státu čerpat finanční podporu v podobě příspěvku pro solidární domácnost. Výše příspěvku pro solidární domácnost se liší podle toho, zda jde o sdílené bydlení (uprchlíci bydlí společně s rodinou) nebo zda ubytovatelé poskytli uprchlíkům samostatný byt.","Солідарні домогосподарства можуть отримати фінансову підтримку від держави у вигляді фінансового внеску для солідарного домогосподарства. Розмір допомоги різниться залежно від того, чи було надано спільне житло (тобто біженці проживають разом із сім’єю, котра надає житло), чи біженцям було надано окрему квартиру для проживання."
accommodationSupport.text4,,"Solidární domácnosti musí ubytování uprchlíkům poskytovat zdarma, mohou ale žádat příspěvek na energie (elektřinu a plyn)","Солідарні домогосподарства повинні надати біженцям житло безкоштовно, але можуть вимагати від біженців оплату частини спожитого газу та електроенергії."
accommodationSupport.text5,,Podrobné informace (infoservis Konsorcia NNO),Детальна інформація (інфоцентр Консорсія НУО)
accommodationSupport.box1.title,,Sdílené solidární domácnosti,Спільні солідарні домогосподарства
accommodationSupport.box1.title.small,,(uprchlíci bydlí s ubytovateli v jednom bytě),(Біженці живуть в одній квартирі з власниками та постачальниками житла)
accommodationSupport.box2.title,,Samostatné solidární domácnosti,Незалежні солідарні домогосподарства
accommodationSupport.box2.title.small,,(uprchlíci mají k dispozici samostatný byt),(Біженцям надали окрему квартиру)
accommodationSupport.box1.text,,"Výše příspěvku: 3 000 Kč/měsíčně na osobu, maximálně pro 3 osoby (tj. max. 9000 Kč/měsíčně). ","Розмір внеску: 3 000 чеських крон/місяць на особу, максимум для 3 осіб (тобто макс. 9 000 чеських крон/місяць)."
accommodationSupport.box2.text,,"Výše příspěvku: 5 000 Kč na 1 osobu, 9 000 na 2 osoby, 12 000 na 3 osoby, 14 000 na 4 osoby a 15 000 na 5 osob.","Розмір внеску: 5 000 чеських крон за 1 особу, 9 000 для 2 осіб, 12 000 для 3 осіб, 14 000 для 4 осіб і 15 000 для 5 осіб."
accommodationSupport.text6,,O příspěvek lze žádat pouze elektronicky s využitím Identity občana (např. bankovní identity). Výplatu dávky administruje Úřad práce. Žádosti o příspěvek pro solidární domácnost se musí žádat každý měsíc (zpětně).,"Запит про надання солідарного внесок можна подати лише в електронному вигляді, використовуючи ідентифікатор громадянина (наприклад, ідентифікатор в банку). Виплату допомоги регулює Бюро зайнятості. Заявки на отримання солідарної допомоги на домогосподарство подаються щомісяця (ретроспективно)."
accommodationSupport.button1,,Více o solidárním příspěvku,Більше про солідарну допомогу
accommodationSupport.text7,,Pravidla podpory platná od 1.7.2023,Правила допомоги дійсні від 01.07.2023
accommodationSupport.text8,,"Solidární domácnosti nebudou dostávat od státu žádný příspěvek. S uprchlíky budou uzavírat nájemní smlouvu a uprchlíci budou své ubytování hradit sami. Pokud budou mít uprchlíci nízké nebo žádné příjmy, mohou získat vyšší humanitární dávku, aby mohli bydlení hradit.","Жодного внеску від держави солідарні домогосподарства не отримуватимуть. Вони повинні укласти з біженцями договір оренди, і біженці самі оплачуватимуть проживання. Якщо біженці мають низький дохід або взагалі його не мають, вони можуть отримати вищу суму гуманітарної допомоги для оплати житла."
accommodationSupport.box1.textB,,"Zákon Lex Ukrajina sice počítá s příspěvkem pro sdílenou solidární domácnost, ale příspěvek fakticky vyplácen nebude. Nepočítá se s příjetím nařízení vlády, které by příspěvek stanovovalo. Proto ubytovatel postupuje stejně, jako by uprchlíkům poskytoval samostatný byt (box vpravo).","Незважаючи на те, що закон «Lex Ukraine» передбачає виплати солідарним домогосподарствам, але фактично ці виплати не будуть проведені. На даний момент не передбачається прийняття урядової постанови, яка б визначала розмір такої виплати/надбавки. Тому при наданні свого житла біженцям орендодавець має діяти так само, як якщо б надавав біженцям окрему квартиру (поле праворуч)."
accommodationSupport.box2.textB,,"Ubytovatel nebude dostávat od státu přímo žádný příspěvek, ale musí se s uprchlíky domluvit na nájmu. Uprchlíci s nízkými příjmy mohou získat příspěvek na bydlení k humanitární dávce (tzv. započitatelné náklady na bydlení, o které se zvýší humanitární dávka, pokud na ni má uprchlík nárok). Z tohoto příspěvku pak mohou nájem hradit. Výše započitatelných nákladů na bydlení bude stanovena Nařízením vlády, které dosud nebylo vydáno.","Людина, що надає окреме житло  не отримуватиме жодної субсидії безпосередньо від держави, але повинена домовитися про орендну плату з біженцями. Біженці з низьким рівнем прибутку можуть отримати допомогу на житло, як додаток до гуманітарної допомоги (так звані розрахункові витрати на житло, які збільшать гуманітарну допомогу, якщо біженець має на неї право). Потім вони можуть платити орендну плату з цього внеску. Розмір прийнятних витрат на житло буде визначено постановою Уряду, яка ще не була видана."
accommodationSupport.text9,,"MPSV vytvořilo novou Evidenci bytů poskytnutých k bydlení uprchlíkům z Ukrajiny. Ta může sehrát důležitou roli u uprchlíků, kteří mají nízké příjmy a mají nárok na humanitární dávku:","Міністерство праці та соціальних питань створило новий Реєстр квартир, наданих для житла біженцям з України. Цей реєстр може відіграти важливу роль для біженців, які мають низькі доходи та мають право на гуманітарну допомогу."
accommodationSupport.li1,,"Pokud majitel vloží svůj byt do Evidence, může uprchlík získat plnou výši započitatelných nákladů na bydlení.","Якщо власник додасть свою квартиру до реєстру, тоді біженець може отримати повну суму відповідних витрат на житло."
accommodationSupport.li2,,"Bude-li uprchlík bydlet v bytě, který v Evidenci vložen není, získá 80 % nákladů na bydlení.","Якщо біженець проживає у квартирі, яка не є внесена до Реєстру, тоді йому буде відшкодовано лише 80% вартості житла."
???,,Informace MPSV pro solidární domácnosti (které poskytují samostatný byt),Інформація Міністерства праці та соціальних питань для солідарних домогосподарств (які надають окрему квартиру)
accommodationSupport.button,,Více o solidárním příspěvku,"Більше про допомогу тим, хто розмістив біженців у своїх домівках, тут"
makeItClear.title,"Než do toho půjdete, ujasněte si","Než do toho půjdete, ujasněte si","Перед тим, як наважитесь на цей крок, дізнайтесь…"
makeItClear.box1.title,,Kdo může ubytovat uprchlíka?,Хто може прийняти біженця?
makeItClear.box1.text,,"Ubytovávat může každý, jak vlastník nemovitosti, tak nájemník. Je však vždy nutné dbát na přiměřený počet osob v bytě a povinnosti vůči vlastníku nemovitosti.","Надати житло може будь-хто, як власник, так і орендар. Проте завжди необхідно звертати увагу на розумну кількість людей у ​​квартирі та зобов’язання перед власником нерухомості."
makeItClear.box2.title,,"Je potřeba, abych ubytovaným uprchlíkům pomáhal?",Чи потрібно мені допомагати розміщеним біженцям?
makeItClear.box2.text,,"Není to potřeba. Váš obrovský přínos je již v tom, že umožníte lidem důstojně bydlet. Zároveň uprchlíci obecně uvítají každou pomoc. Například kde jsou obchody s potravinami, kde dětská hřiště nebo úřady, doprovod do školy, propojení s dalšími lidmi, konverzace v češtině, to všechno může velmi pomoci. Se složitějšími otázkami a řešením životních situací, které vyžadují profesionální pomoc, je lépe se obrátit na pomáhající organizace.","Це не є обов'язковим. Ваш величезний внесок уже в тому, що ви даєте можливість людям жити гідно. Водночас біженці загалом раді будь-якій допомозі. Наприклад, пояснити, де є продуктові магазини, де є дитячі майданчики чи державні установи, супроводити до школи, познайомити з іншими людьми, чи поспілкуватися чеською мовою - все це може бути дуже корисним. З більш складними питаннями і вирішенням життєвих ситуацій, які вимагають професійної допомоги, краще звертатися до спеціальних організацій, які допомагають."
makeItClear.box3.title,,Kde mohu ubytovat uprchlíka?,Де я можу розмістити біженця?
makeItClear.box3.text,,V nemovitostech zkolaudovaných k využití pro účely bydlení.,"В об’єктах, дозволених для житлового використання."
makeItClear.box4.title,,Na jak dlouho mohu poskytnout ubytování?,На який термін я можу надати житло?
makeItClear.box4.text,,Záleží na dohodě obou stran. Doporučujeme si tyto záležitosti vyjasnit dopředu.,Це залежить від згоди обох сторін. Радимо уточнювати ці питання заздалегідь.
makeItClear.box5.title,,Jak proběhne nastěhování?,Як відбуватиметься процес заселення?
makeItClear.box5.text,,"Nastěhování může být náročné pro obě strany. Požádejte pomáhající organizaci, ať nové nájemníky doprovodí a pomůže jim se zabydlet. Společně si pak můžete vyjít na procházku – ukažte jim, kde je obchod, zastávka, hřiště pro děti.","Заселення може бути складним для обох сторін. Попросіть організацію підтримки супроводжувати нових мешканців і допомогти їм облаштуватися. Потім ви можете разом прогулятися - показати їм, де знаходиться магазин, автобусна зупинка, ігровий майданчик для дітей."
makeItClear.box6.title,,"Jak energeticky náročné je bydlení, které poskytuji?","Наскільки енергозатратним є житло, яке я надаю?"
makeItClear.box6.text,,"Na Ukrajině jsou ceny elektřiny i plynu výrazně levnější než v ČR a uprchlíci mohou být zvyklí topit více, než je potřeba. Stát vám nepřispěje na všechno, ale můžete např. požadovat úhradu spotřeby plynu a elektřiny přímo od nájemníků.","В Україні ціни на електроенергію та газ значно нижчі, ніж у Чехії, і біженці можуть бути звиклі опалювати житло більше, ніж потрібно. Держава не в усьому сприятиме, але можна, наприклад, вимагати оплату частини спожитого газу та електроенергії напряму з орендарів."
makeItClear.box7.title,,Budete používat společné prostory?,"Чи будете ви користуватися загальним простором, кімнатами?"
makeItClear.box7.text,,"Stanovte si s předstihem jasná pravidla pro užívání společných prostor, jako je chodba nebo zahrada. I uprchlíci ocení, když budou přesně vědět, co od bydlení čekat a kde jsou jejich hranice.","Заздалегідь встановіть чіткі правила використання місць загального користування, таких як коридор або сад. Біженці також будуть вдячні, коли точно знатимуть, чого очікувати від житла та де проходять їхні кордони."
makeItClear.box8.title,,Můžu uprchlíky odmítnout?,Чи можу я відмовити біженцям?
makeItClear.box8.text,,"V případě, že po prvním kontaktu zjistíte, že uprchlíky nemůžete z jakéhokoliv důvodu ubytovat, je možné je odmítnout. Tyto záležitosti vždy řešte přes pomáhající organizaci, která je v těchto případech k dispozici.","Якщо після першого контакту ви дізнаєтеся, що з будь-яких причин не можете прийняти біженців, їм можна відмовити. Завжди вирішуйте ці питання через допомогу спеціальних організації, яка доступна в таких випадках."
makeItClear.box9.title,,Musím s nájemníky uzavřít smlouvu?,Чи потрібно укладати договір з орендарями?
makeItClear.box9.text,,"Ano, podle nejnovější legislativy (Lex Ukrajina V) je to nezbytné. Dvojjazyčné vzory smluv jsou k dispozici zde (Nájemní smlouva, podnájemní smlouva).","Так, згідно з останнім законодавством (Lex Ukraine V) це необхідно. Зразки двомовних договорів (договір оренди, договір суборенди) доступні тут."
contactAndCommunication.title,Kontakt a komunikace s uprchlíky z Ukrajiny,Kontakt a komunikace s uprchlíky z Ukrajiny,Контакт та спілкування з біженцями з України
contactAndCommunication.text,,"Rozhodli jste se ubytovat uprchlíky? Nabízíme vám materiály, které vám mohou pomoci při komunikaci s uprchlíky nebo mohou zodpovědět vaše otázky.","Ви вирішили надати житло біженцям? Пропонуємо вам матеріали, які можуть допомогти вам у спілкуванні з біженцями чи відповісти на ваші запитання."
contactAndCommunication.boxTitle,,Pro efektivnější komunikaci,Для ефективнішого спілкування
contactAndCommunication.boxText1,,"O všem důležitém s nájemníky komunikujte. Ale i při dobré vůli může někdy v komunikaci dojít k nedorozumění, část z nich vlivem kulturních rozdílů.","Спілкуйтеся з орендарями про все важливе. Але навіть з добрими намірами в спілкуванні іноді можуть виникати непорозуміння, частина з них виникають через культурні відмінності."
contactAndCommunication.boxText2,,Na rychlé překlady je nejvhodnější Internetový překladač DeepL. S tlumočením Vám pomohou na asistenční infolince.,Інтернет-перекладач DeepL найкраще підходить для швидкого перекладу. З усним перекладом вам допоможуть на гарячій лінії.
contactAndCommunication.tip4.title,,Jak mluvit s lidmi zasaženými válkou,"Як говорити з людьми, котрих травмувала війна "
contactAndCommunication.tip4.text,,Příručka pro komunikaci s uprchlíky pro jejich blízké a dobrovolníky,Посібник спілкування з біженцями для їхніх родичів та волонтерів
contactAndCommunication.button.read,,Přečíst,Прочитати
contactAndCommunication.button.visit,,Navštívit,Відвідати
contactAndCommunication.button.moreInfo,,Více informací,Більше інформації
contactAndCommunication.tip1.title,,Jak pomáhat a rozumět?,Як допомагати і розуміти?
contactAndCommunication.tip1.text,,Příručka o bezprostřední pomoci uprchlíkům a kulturních rozdílech mezi ČR a Ukrajinou,Посібник безпосередньої допомоги біженцям та про різницю між культурами Чехії та України 
contactAndCommunication.tip2.title,,Příručka pro soužití s uprchlíky,Посібник про співжиття та співіснування з біженцями
contactAndCommunication.tip2.text,,"Návod, jak zajistit, aby se u vás nově příchozí cítili vítáni a v bezpečí","Інструкція, як забезпечити, щоб нові приїжджі почувались у вас гостинно та безпечно"
contactAndCommunication.tip3.title,,Základy češtiny a ukrajinštiny pro běžné životní situace,Основи чеської та української мов для основних життєвих ситуацій
contactAndCommunication.tip3.text,,Přehled základních komunikačních frází v češtině a ukrajinštině,Список основних фраз для спілкування чеською та українською мовами
contactAndCommunication.tip5.title,,Základní interkulturní trénink,Курс міжкультурних основ
contactAndCommunication.tip5.text,,Čtyřhodinový kurz zdarma pro zájemce o interkulturním soužití se zvláštním zřetelem na nově příchozí z Ukrajiny,"Безкоштовний чотиригодинний курс для тих, хто цікавиться міжкультурним співіснуванням з особливим акцентом на новоприбулих з України"
contactAndCommunication.linksTitle,,Další důležité odkazy,Інші важливі посилання
contactAndCommunication.link1.text,,"Pomáhej Ukrajině, kde můžete nalézt i nabídky materiální pomoci, pokud např. potřebujete dovybavit Vaši solidární domácnost.","Допомагай Україні, де також можна знайти пропозиції матеріальної допомоги, якщо, наприклад, потрібно відремонтувати вашу спільну домівку."
contactAndCommunication.link2.text,,"Informační servis k situaci uprchlíků je rozcestník, kde najdete veškeré podstatné informace ohledně uprchlíků.","Інформаційна служба про становище біженців – це місце, де можна знайти всю необхідну інформацію про біженців."
contactAndCommunication.link3.text,,"Naši Ukrajinci je rozcestník ministerstva vnitra pro Ukrajince i pro ty, kteří chtějí pomoct.","""Наші українці"" – дороговказ МВС для українців і для тих, хто хоче допомогти."
contactAndCommunication.link4.text1,,Zkušenosti hostitelských rodin pro uprchlíky z Ukrajiny,"Досвід сімей, що приймають біженців з України "
contactAndCommunication.link4.text2,,"Facebooková skupina, ve které domácnosti sdílí zkušenosti s bydlením s uprchlíky z Ukrajiny a navzájem si pomáhají.","Група у Facebook, де домашні господарства діляться своїм досвідом життя з біженцями з України та допомагають одне одному."
,Vkládání nabídek,česky,ukrajinsky
,Registrační formulář pro nabídku ubytování,Registrační formulář pro nabídku ubytování,Регістраційна форма/бланк для пропозиції житла
,,"Vyplňte kontaktní informace o sobě, adresu a další informace o ubytování, které nabízíte. Po ověření zadaného emailu se vaše nabídka zobrazí v platformě registrovaným uživatelům z pomáhajících organizací, kteří zprostředkovávají ubytování.","Заповніть свою контактну інформацію, адресу та іншу інформацію про житло, яке ви пропонуєте. Після перевірки введеної електронної пошти ваша пропозиція буде відображена на платформі для зареєстрованих користувачів  - організацій, що допомагають надавати житло."
,,"Email slouží jako vaše ID. Pokud budete chtít změnit svůj email, musíte se zaregistrovat jako nový uživatel a případně své nabídky pomoci zadat znovu.","Електронна адреса є вашим ""ідентифікатором"". Якщо ви хочете змінити свою електронну пошту, ви повинні зареєструватися як новий користувач і знову ввести свої пропозиції допомоги."
,,(vyplňujte pouze pokud vyplňujete jménem organizace),"(Заповніть тільки у випадку, що ви дієте ім'ям організації)"
,,"Nabídky ubytování nejsou veřejné a pracují s nimi pouze kolegové z pomáhajících organizací nebo obcí. Ti Vás také budou kontaktovat v případě zájmu o Vaši nabídku. Prosíme, specifikujte svou nabídku co nejpřesněji, užitečné jsou např. i informace o občanské vybavenosti (dostupnost dopravy, škol nebo služeb) v místě ubytování.","Пропозиції житла не являються публічними публікаціями і з ними працюють лише колеги з організацій чи муніципалітетів, які допомагають. Саме вони зв’яжуться з вами, якщо когось зацікавить ваша пропозиція. Будь ласка, якомога точніше конкретизуйте свою пропозицію, наприклад, корисною буде інформація про цивільну інфраструктуру (наявність транспорту, шкіл чи послуг) у місці проживання."
,,Děkujeme za vložení nabídky ubytování!,"Дякуємо за те, що ви додали пропозицію житла!"
